timestamp,model,prompt_set,concept_term,A1_fsn,A2_semantic_tag,A3_definition_status,A4_parents,A5_grandparents,A6_children,A7_siblings
2026-03-05T09:14:38.314159,gemini-3-flash-preview,set1,Biopsy,Biopsy (procedure),procedure,Fully defined,Surgical procedure (procedure)|Diagnostic procedure (procedure)|Removal (procedure),Procedure (procedure)|Procedure by method (procedure)|Evaluation procedure (procedure),Needle biopsy (procedure)|Incisional biopsy (procedure)|Excisional biopsy (procedure)|Endoscopic biopsy (procedure)|Punch biopsy (procedure)|Fine needle aspiration biopsy (procedure)|Core needle biopsy (procedure)|Brush biopsy (procedure)|Skin biopsy (procedure),Diagnostic imaging (procedure)|Endoscopy (procedure)|Physical examination (procedure)|Excision (procedure)|Incision (procedure)|Extraction (procedure)|Aspiration (procedure)|Surgical exploration (procedure)
2026-03-05T09:14:46.896513,gemini-3-flash-preview,set1,Venipuncture,Venipuncture (procedure),procedure,Primitive,Puncture of vein (procedure),Puncture of cardiovascular system (procedure)|Vascular procedure (procedure),Scalp vein venipuncture (procedure)|Venipuncture of femoral vein (procedure)|Venipuncture of intracranial venous sinus (procedure)|Venipuncture of jugular vein (procedure),Needling of vein (procedure)|Suction of vein (procedure)
2026-03-05T09:14:56.206112,gemini-3-flash-preview,set1,Laparotomy,Laparotomy (procedure),procedure,Primitive,Incision of abdomen (procedure),Incision of trunk (procedure)|Operation on abdomen (procedure),Exploratory laparotomy (procedure)|Reopening of laparotomy (procedure)|Minilaparotomy (procedure)|Staging laparotomy (procedure)|Second look laparotomy (procedure),Abdominal wall incision (procedure)|Drainage of abdomen by incision (procedure)
2026-03-05T09:15:06.755545,gemini-3-flash-preview,set1,Opening of chest,Opening of chest (procedure),procedure,Primitive,Opening of body cavity (procedure)|Procedure on thorax (procedure),Surgical procedure (procedure)|Procedure on body region (procedure),Thoracotomy (procedure)|Sternotomy (procedure),Opening of abdominal cavity (procedure)|Opening of pelvic cavity (procedure)|Opening of cranial cavity (procedure)|Closure of chest (procedure)|Biopsy of thorax (procedure)
2026-03-05T09:15:18.119113,gemini-3-flash-preview,set1,Cholecystectomy,Cholecystectomy (procedure),procedure,Fully defined,Excision of gallbladder (procedure),Excision of biliary tract (procedure)|Operations on gallbladder (procedure),Laparoscopic cholecystectomy (procedure)|Open cholecystectomy (procedure)|Total cholecystectomy (procedure)|Partial cholecystectomy (procedure)|Cholecystectomy and exploration of common bile duct (procedure),Cystectomy of gallbladder (procedure)|Excision of lesion of gallbladder (procedure)
2026-03-05T09:15:36.347485,gemini-3-flash-preview,set1,Cardiopulmonary resuscitation,Cardiopulmonary resuscitation (procedure),procedure,Fully defined,Resuscitation (procedure),Emergency procedure (procedure)|Therapeutic procedure (procedure),Advanced cardiac life support (procedure)|Basic cardiac life support (procedure)|Cardiopulmonary resuscitation with manual chest compression (procedure)|Closed chest massage (procedure)|Extracorporeal cardiopulmonary resuscitation (procedure)|Internal cardiac massage (procedure)|Manual chest compression (procedure)|Open chest massage (procedure),Fluid resuscitation (procedure)|Neonatal resuscitation (procedure)|Respiratory resuscitation (procedure)
2026-03-05T09:15:45.861871,gemini-3-flash-preview,set1,Triage,Triage (procedure),procedure,Primitive,Emergency care management (procedure)|Patient evaluation (procedure),Healthcare management (procedure)|Evaluation (procedure),Emergency department triage (procedure)|Major incident triage (procedure)|Obstetric triage (procedure)|Telephone triage (procedure)|Ophthalmic triage (procedure),Disaster management (procedure)|Management of casualties (procedure)|Physical examination (procedure)|Preoperative evaluation (procedure)|Health assessment (procedure)
2026-03-05T09:15:57.928517,gemini-3-flash-preview,set1,Proximal,Proximal (qualifier value),qualifier value,Primitive,Anatomic orientation descriptors (qualifier value),Descriptor (qualifier value),Proximal and lateral (qualifier value)|Proximal and medial (qualifier value)|Proximal and dorsal (qualifier value)|Proximal and ventral (qualifier value),Distal (qualifier value)|Medial (qualifier value)|Lateral (qualifier value)|Anterior (qualifier value)|Posterior (qualifier value)|Superior (qualifier value)|Inferior (qualifier value)|Dorsal (qualifier value)|Ventral (qualifier value)|Superficial (qualifier value)|Deep (qualifier value)|External (qualifier value)|Internal (qualifier value)|Cranial (qualifier value)|Caudal (qualifier value)|Rostral (qualifier value)|Peripheral (qualifier value)|Central (qualifier value)|Intermediate (qualifier value)
2026-03-05T09:16:08.604765,gemini-3-flash-preview,set1,Distal,Distal (qualifier value),qualifier value,Primitive,Relative (qualifier value),Relative location (qualifier value),Distal part of (qualifier value)|Distal to (qualifier value),Proximal (qualifier value)|Intermediate (qualifier value)|Central (qualifier value)|Peripheral (qualifier value)|Basal (qualifier value)|Apical (qualifier value)|Middle (qualifier value)|Terminal (qualifier value)
2026-03-05T09:16:23.486195,gemini-3-flash-preview,set1,Chronic,Chronic (qualifier value),qualifier value,Primitive,Courses (qualifier value),Qualifier value (qualifier value),Chronic active (qualifier value)|Chronic paroxysmal (qualifier value)|Chronic persistent (qualifier value)|Chronic progressive (qualifier value)|Chronic recurrent (qualifier value),Acute (qualifier value)|Subacute (qualifier value)|Sudden onset (qualifier value)|Recurrent (qualifier value)|Paroxysmal (qualifier value)
2026-03-05T09:16:33.282709,gemini-3-flash-preview,set1,Determination of prognosis,Determination of prognosis (procedure),procedure,Primitive,Clinical evaluation and management (procedure),Procedure (procedure),Assessment of rehabilitation potential (procedure)|Estimation of prognosis using tool (procedure)|Fetal prognosis (procedure)|Neurological prognosis (procedure)|Ocular prognosis (procedure)|Postoperative prognosis (procedure)|Pre-treatment prognosis (procedure)|Prognosis at conclusion of treatment (procedure)|Prognosis for vision (procedure),Clinical consultation (procedure)|Management of clinical condition (procedure)|Patient evaluation (procedure)|Screening (procedure)|Triage (procedure)
2026-03-05T09:16:43.521860,gemini-3-flash-preview,set1,Anaphylaxis,Anaphylaxis (disorder),disorder,Fully defined,Allergic condition (disorder)|Systemic hypersensitivity reaction (disorder),Disorder of immune system (disorder)|Hypersensitivity reaction (disorder),Anaphylactic shock (disorder)|Anaphylaxis caused by drug (disorder)|Anaphylaxis caused by vaccine (disorder)|Anaphylaxis due to contrast media (disorder)|Anaphylaxis due to food (disorder)|Exercise-induced anaphylaxis (disorder)|Idiopathic anaphylaxis (disorder),Angioedema (disorder)|Atopic dermatitis (disorder)|Serum sickness (disorder)|Systemic allergic reaction (disorder)|Urticaria (disorder)
2026-03-05T09:16:49.463190,gemini-3-flash-preview,set1,Structure of ischiogluteal bursa of right hip,Structure of ischiogluteal bursa of right hip (body structure),body structure,Fully defined,Ischiogluteal bursa (body structure)|Bursa of right hip (body structure),Bursa of hip joint (body structure)|Bursa of right lower limb (body structure)|Structure of right hip (body structure),None,Structure of ischiogluteal bursa of left hip (body structure)|Structure of iliopectineal bursa of right hip (body structure)|Structure of trochanteric bursa of right hip (body structure)
2026-03-05T09:17:13.118337,gemini-3-flash-preview,set1,Does not cut own nails,Does not cut own nails (finding),finding,Primitive,Unable to cut own nails (finding),Unable to perform nail care (finding),Does not cut own fingernails (finding)|Does not cut own toenails (finding),None
2026-03-05T09:17:23.737154,gemini-3-flash-preview,set1,Laceration of right brachial artery,Laceration of right brachial artery (disorder),(disorder),Fully defined,Laceration of brachial artery (disorder)|Injury of right brachial artery (disorder),Injury of brachial artery (disorder)|Laceration of artery of upper limb (disorder)|Injury of artery of right upper limb (disorder),Traumatic rupture of right brachial artery (disorder),Laceration of left brachial artery (disorder)|Contusion of right brachial artery (disorder)|Puncture wound of right brachial artery (disorder)|Traumatic aneurysm of right brachial artery (disorder)|Traumatic arteriovenous fistula of right brachial artery (disorder)
2026-03-05T09:17:33.801821,gemini-3-flash-preview,set1,Date sample received in laboratory,Date sample received in laboratory (observable entity),observable entity,Primitive,Laboratory test date (observable entity),Laboratory procedure (observable entity),Date blood sample received in laboratory (observable entity)|Date urine sample received in laboratory (observable entity),Date of laboratory report (observable entity)|Date sample collected (observable entity)|Date sample discarded (observable entity)|Date sample prepared (observable entity)|Date specimen reported (observable entity)|Date laboratory test result received (observable entity)
2026-03-05T09:17:40.149266,gemini-3-flash-preview,set1,Autosomal recessive severe congenital neutropenia due to jagunal homolog 1 deficiency,Autosomal recessive severe congenital neutropenia due to jagunal homolog 1 deficiency (disorder),(disorder),Fully defined,Autosomal recessive severe congenital neutropenia (disorder),Autosomal recessive disease (disorder)|Severe congenital neutropenia (disorder),None,Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency (disorder)|Autosomal recessive severe congenital neutropenia due to HAX1 deficiency (disorder)|Autosomal recessive severe congenital neutropenia due to VPS45 deficiency (disorder)
2026-03-05T09:18:19.165531,gemini-3-flash-preview,set1,Product containing only ezetimibe and rosuvastatin,Product containing only ezetimibe and rosuvastatin (medicinal product),medicinal product,Fully defined,Product containing ezetimibe and rosuvastatin (medicinal product),Product containing ezetimibe (medicinal product)|Product containing rosuvastatin (medicinal product),Product containing only ezetimibe and rosuvastatin in oral dose form (medicinal product),None
2026-03-05T09:18:43.638303,gemini-3-flash-preview,set1,Alpha>1< anti-trypsin isotype MZ,Alpha-1 antitrypsin isotype MZ (finding),finding,Primitive,Alpha-1 antitrypsin phenotype (finding),Alpha-1 antitrypsin finding (finding),(None),Alpha-1 antitrypsin isotype M (finding)|Alpha-1 antitrypsin isotype MM (finding)|Alpha-1 antitrypsin isotype MS (finding)|Alpha-1 antitrypsin isotype SS (finding)|Alpha-1 antitrypsin isotype SZ (finding)|Alpha-1 antitrypsin isotype Z (finding)|Alpha-1 antitrypsin isotype ZZ (finding)
2026-03-05T09:18:53.059021,gemini-3-flash-preview,set1,2-dehydro-3-deoxy-L-pentonate aldolase,2-dehydro-3-deoxy-L-pentonate aldolase (substance),(substance),Primitive,Aldolase (substance),Carbon-carbon lyase (substance),None,17-alpha-hydroxyprogesterone aldolase (substance)|2-dehydro-3-deoxy-6-phosphogalactonate aldolase (substance)|2-dehydro-3-deoxy-phosphogluconate aldolase (substance)|6-phospho-2-dehydro-3-deoxy-D-galactonate aldolase (substance)|Deoxyribose-phosphate aldolase (substance)|D-threonine aldolase (substance)|Fructose-bisphosphate aldolase (substance)|Ketotetrose-phosphate aldolase (substance)|L-fuculose-phosphate aldolase (substance)
2026-03-05T09:19:04.015473,gemini-3-flash-preview,set1,Thiourea,Thiourea (substance),substance,Primitive,Thioamide (substance),Amide (substance)|Organosulfur compound (substance),Ethylenethiourea (substance)|Phenylthiourea (substance),Ethionamide (substance)|Prothionamide (substance)|Thioacetamide (substance)
2026-03-05T09:19:16.510856,gemini-3-flash-preview,set1,Protriptyline,Protriptyline (substance),substance,Primitive,Tricyclic antidepressant (substance),Antidepressant (substance),Protriptyline hydrochloride (substance),Amitriptyline (substance)|Butriptyline (substance)|Clomipramine (substance)|Demexiptiline (substance)|Desipramine (substance)|Dibenzepin (substance)|Dothiepin (substance)|Doxepin (substance)|Imipramine (substance)|Iprindole (substance)|Lofepramine (substance)|Melitracen (substance)|Metapramine (substance)|Nortriptyline (substance)|Noxiptiline (substance)|Opipramol (substance)|Propizepine (substance)|Quinupramine (substance)|Trimipramine (substance)
2026-03-05T09:19:32.792987,gemini-3-flash-preview,set1,Use of sling suspension,Use of sling suspension (procedure),procedure,Primitive,Sling procedure (procedure),Procedure on musculoskeletal system (procedure)|Procedure by method (procedure),None,Application of arm sling (procedure)|Application of collar and cuff (procedure)|Application of pelvic sling (procedure)|Sling application (procedure)|Sling immobilization (procedure)|Sling urethropexy (procedure)|Suspensory bandage application (procedure)
2026-03-05T09:19:44.875234,gemini-3-flash-preview,set1,Insulin receptor defect,Insulin receptor defect (disorder),disorder,Primitive,Disorder of insulin receptor (disorder)|Genetic disorder of endocrine system (disorder),Disorder of carbohydrate metabolism (disorder)|Disorder of endocrine system (disorder)|Hereditary disease (disorder),Leprechaunism (disorder)|Rabson-Mendenhall syndrome (disorder)|Type A insulin resistance syndrome (disorder),Congenital adrenal hyperplasia (disorder)|Multiple endocrine neoplasia (disorder)|Pendred syndrome (disorder)|Familial isolated hypoparathyroidism (disorder)
2026-03-05T09:19:59.679588,gemini-3-flash-preview,set1,Akinesis of basal anterior segment of left cardiac ventricle,Akinesis of basal anterior segment of left cardiac ventricle (finding),(finding),Fully defined,Akinesis of left cardiac ventricle (finding)|Finding of basal anterior segment of left cardiac ventricle (finding),Akinesis of cardiac ventricle (finding)|Finding of myocardial segment (finding)|Left ventricular finding (finding),None,Akinesis of apical segment of left cardiac ventricle (finding)|Akinesis of basal inferior segment of left cardiac ventricle (finding)|Akinesis of basal lateral segment of left cardiac ventricle (finding)|Akinesis of basal septal segment of left cardiac ventricle (finding)|Akinesis of mid anterior segment of left cardiac ventricle (finding)|Dyskinesia of basal anterior segment of left cardiac ventricle (finding)|Hypokinesia of basal anterior segment of left cardiac ventricle (finding)
2026-03-05T09:20:07.914397,gemini-3-flash-preview,set1,Bioterrorist attack,Bioterrorist attack (event),event,Primitive,Terrorist attack (event)|Biological hazard (event),Violence (event)|Environmental hazard (event),(none),Accidental release of biological agent (event)|Bombing (event)|Chemical terrorist attack (event)|Cyberterrorist attack (event)|Exposure to biological agent (event)|Nuclear terrorist attack (event)|Radiological terrorist attack (event)
2026-03-05T09:20:17.539901,gemini-3-flash-preview,set1,Rickettsia australis,Rickettsia australis (organism),organism,Primitive,Genus Rickettsia (organism),Family Rickettsiaceae (organism),None,Rickettsia akari (organism)|Rickettsia conorii (organism)|Rickettsia felis (organism)|Rickettsia prowazekii (organism)|Rickettsia rickettsii (organism)|Rickettsia typhi (organism)|Rickettsia africae (organism)|Rickettsia sibirica (organism)|Rickettsia japonica (organism)|Rickettsia honei (organism)|Rickettsia slovaca (organism)|Rickettsia parkeri (organism)|Rickettsia massiliae (organism)|Rickettsia raoultii (organism)|Rickettsia heilongjiangensis (organism)
2026-03-05T09:20:32.905885,gemini-3-flash-preview,set1,Computed tomography 3 dimensional reconstruction,Computed tomography 3 dimensional reconstruction (procedure),procedure,Primitive,Computed tomography (procedure)|Three-dimensional reconstruction (procedure),Radiographic imaging (procedure)|Imaging data processing (procedure),Computed tomography of the head with 3 dimensional reconstruction (procedure)|Computed tomography of the neck with 3 dimensional reconstruction (procedure)|Computed tomography of the chest with 3 dimensional reconstruction (procedure)|Computed tomography of the heart with 3 dimensional reconstruction (procedure)|Computed tomography of the spine with 3 dimensional reconstruction (procedure)|Computed tomography of the abdomen and pelvis with 3 dimensional reconstruction (procedure),Magnetic resonance imaging 3 dimensional reconstruction (procedure)|Ultrasound 3 dimensional reconstruction (procedure)|Positron emission tomography 3 dimensional reconstruction (procedure)|Single photon emission computed tomography 3 dimensional reconstruction (procedure)|Angiography 3 dimensional reconstruction (procedure)
2026-03-05T09:20:41.604226,gemini-3-flash-preview,set1,Open reduction of fracture of tarsal bone without internal fixation,Open reduction of fracture of tarsal bone without internal fixation (procedure),procedure,Fully defined,Open reduction of fracture of tarsal bone (procedure)|Reduction of fracture of tarsal bone without internal fixation (procedure),Open reduction of fracture (procedure)|Reduction of fracture of foot without internal fixation (procedure)|Reduction of fracture of tarsal bone (procedure),Open reduction of fracture of calcaneus without internal fixation (procedure)|Open reduction of fracture of cuboid bone without internal fixation (procedure)|Open reduction of fracture of cuneiform bone without internal fixation (procedure)|Open reduction of fracture of navicular bone without internal fixation (procedure)|Open reduction of fracture of talus without internal fixation (procedure),Closed reduction of fracture of tarsal bone without internal fixation (procedure)|Open reduction of fracture of tarsal bone with internal fixation (procedure)
2026-03-05T09:20:50.444106,gemini-3-flash-preview,set1,Identification of antibody to red blood cell antigens from Colton system (International Society of Blood Transfusion 015),Identification of antibody to red blood cell antigens from Colton system (procedure),procedure,Primitive,Identification of red blood cell antibody (procedure),Red blood cell antigen and antibody identification (procedure),Identification of antibody to Colton a antigen (procedure)|Identification of antibody to Colton b antigen (procedure)|Identification of antibody to Colton 3 antigen (procedure),Identification of antibody to red blood cell antigens from ABO system (procedure)|Identification of antibody to red blood cell antigens from Rh system (procedure)|Identification of antibody to red blood cell antigens from Kell system (procedure)|Identification of antibody to red blood cell antigens from MNS system (procedure)|Identification of antibody to red blood cell antigens from Duffy system (procedure)|Identification of antibody to red blood cell antigens from Kidd system (procedure)|Identification of antibody to red blood cell antigens from Lewis system (procedure)|Identification of antibody to red blood cell antigens from P1PK system (procedure)|Identification of antibody to red blood cell antigens from Lutheran system (procedure)
2026-03-05T09:20:58.397912,gemini-3-flash-preview,set1,Spirometra houghtonii,Spirometra houghtonii (organism),organism,Primitive,Genus Spirometra (organism),Family Diphyllobothriidae (organism),None,Spirometra erinaceieuropaei (organism)|Spirometra mansoni (organism)|Spirometra mansonoides (organism)|Spirometra theileri (organism)
