timestamp,model,prompt_set,concept_term,B1_official_name,B2_kind,B3_category_type,B4_immediate_broader,B5_grandparents,B6_immediate_narrower,B7_peer_terms
2026-03-05T10:43:50.248950,gemini-3-flash-preview,set2,Sepsis,Sepsis,Disease,Fully defined,Systemic inflammatory response syndrome due to infection,Systemic inflammatory response syndrome|Infection,Septic shock|Severe sepsis|Neonatal sepsis|Puerperal sepsis|Sepsis with acute organ dysfunction,Systemic inflammatory response syndrome non-infectious origin
2026-03-05T10:43:58.395007,gemini-3-flash-preview,set2,Malignant,Malignant neoplastic process,Neoplastic Process,Fully defined,Neoplasm|Pathologic process,Disease or disorder|Biological process,Carcinoma|Sarcoma|Leukemia|Lymphoma,Benign|Premalignant|Uncertain malignant potential
2026-03-05T10:44:10.778113,gemini-3-flash-preview,set2,Benign,Benign,Qualitative Value,Primitive,,,Benign active|Benign inactive,Malignant|Uncertain whether benign or malignant|Carcinoma in situ
2026-03-05T10:44:19.995008,gemini-3-flash-preview,set2,Abscess,Abscess,Morphological abnormality,Primitive,Inflammation,Pathologic process,Skin abscess|Brain abscess|Dental abscess|Peritonsillar abscess|Liver abscess,Gangrene|Granuloma|Ulcer|Pustule|Edema
2026-03-05T10:44:32.773528,gemini-3-flash-preview,set2,Edema,Edema,Finding,Fully defined,Soft tissue swelling|Abnormality of water distribution,Finding by site|Metabolic disorder,Peripheral edema|Pulmonary edema|Cerebral edema|Lymphedema|Macular edema|Pitting edema,Dehydration|Effusion|Congestion|Hypervolemia|Hypovolemia
2026-03-05T10:44:40.965041,gemini-3-flash-preview,set2,Intubation,Intubation,Procedure,Fully defined,Insertion of tube,Medical procedure,Endotracheal intubation|Nasogastric intubation|Esophageal intubation|Nasotracheal intubation,Catheterization|Cannulation|Drainage|Incision
2026-03-05T10:44:52.352024,gemini-3-flash-preview,set2,Biopsy,Biopsy,Diagnostic procedure,Fully defined,Diagnostic procedure|Surgical procedure,Health care procedure,Needle biopsy|Incisional biopsy|Excisional biopsy|Core biopsy|Shave biopsy,Endoscopy|Radiography|Laboratory test|Physical examination
2026-03-05T10:45:01.321442,gemini-3-flash-preview,set2,Venipuncture,Venipuncture,Procedure,Fully defined,Puncture of vein,Puncture of blood vessel|Surgical procedure on vein,Venipuncture for blood collection|Venipuncture for infusion|Scalp vein venipuncture,Arterial puncture|Capillary puncture|Cardiac puncture
2026-03-05T10:45:09.820036,gemini-3-flash-preview,set2,Laparotomy,Laparotomy,Surgical Procedure,Fully defined,,,Exploratory laparotomy|Staging laparotomy|Re-laparotomy,Thoracotomy|Craniotomy|Pelviotomy
2026-03-05T10:45:18.034204,gemini-3-flash-preview,set2,Opening of chest,Thoracotomy,Surgical procedure,Fully defined,Incision of thorax,Incision by site|Procedure on thorax,Median sternotomy|Anterolateral thoracotomy|Posterolateral thoracotomy|Axillary thoracotomy,Mediastinotomy|Pleurotomy|Pericardiotomy
2026-03-05T10:45:31.292770,gemini-3-flash-preview,set2,Cholecystectomy,Cholecystectomy,Therapeutic or Preventive Procedure,Fully defined,Procedure on gallbladder|Excision of biliary tract,Digestive system procedure|Operation on biliary tract,Laparoscopic cholecystectomy|Open cholecystectomy|Partial cholecystectomy|Total cholecystectomy,Cholecystostomy|Cholecystotomy|Repair of gallbladder|Destruction of gallbladder
2026-03-05T10:45:39.334008,gemini-3-flash-preview,set2,Cardiopulmonary resuscitation,Cardiopulmonary resuscitation,Procedure,Fully defined,Resuscitation,Emergency care,Open chest cardiopulmonary resuscitation|Closed chest cardiopulmonary resuscitation|Basic life support|Advanced cardiac life support,Mouth-to-mouth resuscitation|Fluid resuscitation|Artificial respiration
2026-03-05T10:45:43.996703,gemini-3-flash-preview,set2,Triage,Triage,Health Care Activity,Fully defined,Prioritization|Clinical assessment,Decision making|Medical procedure,Emergency department triage|Battlefield triage|Disaster triage|Telephone triage,Medical screening|Patient referral|Clinical diagnosis|Patient admission
2026-03-05T10:45:52.440748,gemini-3-flash-preview,set2,Proximal,Proximal,Qualifier Value,Primitive,,,Proximal-lateral|Proximal-medial,Distal|Medial|Lateral|Anterior|Posterior|Superior|Inferior|Deep|Superficial
2026-03-05T10:46:03.632636,gemini-3-flash-preview,set2,Distal,Distal,Spatial Concept,Primitive,Relative anatomical location,Anatomical spatial concept,Distalmost|Distal aspect,Proximal|Medial|Lateral|Anterior|Posterior|Superior|Inferior|Deep|Superficial
2026-03-05T10:46:11.410471,gemini-3-flash-preview,set2,Chronic,Chronic,Qualifier Value,Primitive,,,Chronic persistent|Chronic progressive|Chronic recurrent,Acute|Subacute|Paroxysmal
2026-03-05T10:46:23.878129,gemini-3-flash-preview,set2,Determination of prognosis,Prognosis determination,Procedure,Fully defined,Evaluation of health status,Evaluation procedure,Determination of prognosis of neoplasm|Determination of prognosis of psychiatric disorder|Assessment of life expectancy,Functional assessment|Nutritional assessment|Risk assessment|Screening|Development of care plan
2026-03-05T10:46:31.477409,gemini-3-flash-preview,set2,Anaphylaxis,Anaphylaxis,Disease or Syndrome,Fully defined,Systemic allergic reaction|Type I hypersensitivity reaction,Hypersensitivity reaction|Immune system disorder,Anaphylactic shock|Food-induced anaphylaxis|Idiopathic anaphylaxis|Exercise-induced anaphylaxis|Drug-induced anaphylaxis,Allergic rhinitis|Angioedema|Urticaria|Allergic asthma
2026-03-05T10:46:38.150119,gemini-3-flash-preview,set2,Structure of ischiogluteal bursa of right hip,Ischiogluteal bursa of right hip (structure),Body structure,Fully defined,Ischiogluteal bursa|Bursa of right hip,Bursa of hip|Right hip region structure|Bursa of lower limb,None,Ischiogluteal bursa of left hip
2026-03-05T10:47:04.409541,gemini-3-flash-preview,set2,Does not cut own nails,Does not cut own nails (finding),Clinical finding,Primitive,Unable to cut own nails,Finding of ability to perform nail care,,
2026-03-05T10:47:14.368575,gemini-3-flash-preview,set2,Laceration of right brachial artery,Laceration of right brachial artery,Traumatic injury,Fully defined,Laceration of brachial artery|Injury of right brachial artery,Laceration of artery of upper limb|Injury of brachial artery|Injury of blood vessel of right upper limb,None,Laceration of left brachial artery|Contusion of right brachial artery|Traumatic rupture of right brachial artery|Puncture wound of right brachial artery|Traumatic aneurysm of right brachial artery
2026-03-05T10:47:20.374597,gemini-3-flash-preview,set2,Date sample received in laboratory,Specimen Receipt Date,Temporal Concept,Fully defined,Laboratory event date|Specimen lifecycle attribute,Point in time|Clinical metadata,Initial specimen receipt date|Supplemental specimen receipt date,Date sample collected|Date sample processed|Date results authorized|Date sample rejected
2026-03-05T10:47:28.480396,gemini-3-flash-preview,set2,Autosomal recessive severe congenital neutropenia due to jagunal homolog 1 deficiency,Autosomal recessive severe congenital neutropenia due to JAGN1 deficiency,Disease or Syndrome,Fully defined,Autosomal recessive severe congenital neutropenia,Severe congenital neutropenia,None identified,Autosomal recessive severe congenital neutropenia due to HAX1 deficiency|Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency|Autosomal recessive severe congenital neutropenia due to AK2 deficiency|Autosomal recessive severe congenital neutropenia due to CSF3R deficiency|Autosomal recessive severe congenital neutropenia due to HYOU1 deficiency
2026-03-05T10:47:36.733556,gemini-3-flash-preview,set2,Product containing only ezetimibe and rosuvastatin,Product containing only ezetimibe and rosuvastatin,Medicinal product,Fully defined,,Product containing ezetimibe|Product containing rosuvastatin,Product containing only ezetimibe 10 mg and rosuvastatin 5 mg|Product containing only ezetimibe 10 mg and rosuvastatin 10 mg|Product containing only ezetimibe 10 mg and rosuvastatin 20 mg|Product containing only ezetimibe 10 mg and rosuvastatin 40 mg,Product containing only ezetimibe and atorvastatin|Product containing only ezetimibe and simvastatin
2026-03-05T10:47:44.162388,gemini-3-flash-preview,set2,Alpha>1< anti-trypsin isotype MZ,Alpha-1 antitrypsin phenotype MZ,Laboratory finding,Fully defined,,Alpha-1 antitrypsin measurement|Protein phenotype,,Alpha-1 antitrypsin phenotype MM|Alpha-1 antitrypsin phenotype ZZ|Alpha-1 antitrypsin phenotype SS|Alpha-1 antitrypsin phenotype SZ|Alpha-1 antitrypsin phenotype MS
2026-03-05T10:47:56.442045,gemini-3-flash-preview,set2,2-dehydro-3-deoxy-L-pentonate aldolase,2-dehydro-3-deoxy-L-pentonate aldolase,Enzyme,Fully defined,Aldehyde-lyases,Carbon-carbon lyases,None,2-dehydro-3-deoxy-D-pentonate aldolase|2-dehydro-3-deoxy-phosphogluconate aldolase|2-dehydro-3-deoxy-6-phosphogalactonate aldolase|Fructose-bisphosphate aldolase
2026-03-05T10:48:03.068072,gemini-3-flash-preview,set2,Thiourea,Thiourea,Organic compound,Fully defined,Thioamides|Organosulfur compounds,Amides|Organic chemicals,"N,N'-Dimethylthiourea|Ethylenethiourea|Phenylthiourea",Urea|Selenourea|Thioacetamide
2026-03-05T10:48:10.813781,gemini-3-flash-preview,set2,Protriptyline,Protriptyline,Pharmacologic Substance,Fully defined,Tricyclic antidepressant|Secondary amine antidepressant,Antidepressant|Dibenzocycloheptene derivative,Protriptyline hydrochloride,Nortriptyline|Desipramine|Amoxapine|Maprotiline
2026-03-05T10:48:18.494091,gemini-3-flash-preview,set2,Use of sling suspension,Use of sling suspension,Procedure,Primitive,Use of suspension equipment,Use of equipment,Use of Guthrie-Smith sling,Use of spring suspension
2026-03-05T10:48:25.988832,gemini-3-flash-preview,set2,Insulin receptor defect,Disorder of insulin receptor,Disease or Syndrome,Primitive,Disorder of hormone receptor|Insulin resistance,Disorder of receptor|Endocrine disorder|Metabolic disorder,Donohue syndrome|Rabson-Mendenhall syndrome|Type A insulin resistance syndrome,Disorder of androgen receptor|Disorder of thyrotropin receptor|Disorder of growth hormone receptor|Disorder of parathyroid hormone receptor
2026-03-05T10:48:31.880221,gemini-3-flash-preview,set2,Akinesis of basal anterior segment of left cardiac ventricle,Akinesis of basal anterior segment of left ventricle,Clinical finding,Fully defined,Akinesis of left ventricle|Finding of wall motion of basal anterior segment of left ventricle,Abnormal left ventricular wall motion|Finding of heart wall motion,None,Akinesis of basal septal segment of left ventricle|Akinesis of mid anterior segment of left ventricle|Hypokinesis of basal anterior segment of left ventricle|Dyskinesis of basal anterior segment of left ventricle
2026-03-05T10:48:37.428383,gemini-3-flash-preview,set2,Bioterrorist attack,Biological terrorism,Event,Fully defined,Terrorism|Biological hazard,Crime|Hazard,Anthrax attack|Smallpox attack|Botulinum toxin contamination|Agroterrorism,Chemical terrorism|Nuclear terrorism|Radiological terrorism|Cyberterrorism
2026-03-05T10:48:41.989635,gemini-3-flash-preview,set2,Rickettsia australis,*Rickettsia australis*,Bacterium,Fully defined,,,,*Rickettsia akari*|*Rickettsia conorii*|*Rickettsia felis*|*Rickettsia prowazekii*|*Rickettsia rickettsii*|*Rickettsia typhi*
2026-03-05T10:48:48.600199,gemini-3-flash-preview,set2,Computed tomography 3 dimensional reconstruction,Three-dimensional reconstruction of computed tomography scan,Diagnostic procedure,Fully defined,Computed tomography|Three-dimensional image reconstruction,Diagnostic imaging|Image processing,Three-dimensional reconstruction of computed tomography of head|Three-dimensional reconstruction of computed tomography of heart|Volume rendering computed tomography,Three-dimensional reconstruction of magnetic resonance imaging|Three-dimensional reconstruction of ultrasonography|Multiplanar reconstruction of computed tomography scan
2026-03-05T10:48:57.035959,gemini-3-flash-preview,set2,Open reduction of fracture of tarsal bone without internal fixation,Most precise official-style name,What kind of thing it is (semantic type),Category type (Primitive / Fully defined),Open reduction of fracture of tarsal bone|Reduction of fracture of tarsal bone without internal fixation,Open reduction of fracture|Reduction of fracture of tarsal bone|Fracture reduction without internal fixation,Open reduction of fracture of calcaneum without internal fixation|Open reduction of fracture of talus without internal fixation|Open reduction of fracture of navicular bone of foot without internal fixation|Open reduction of fracture of cuboid bone without internal fixation|Open reduction of fracture of cuneiform bone of foot without internal fixation,Open reduction of fracture of tarsal bone with internal fixation|Closed reduction of fracture of tarsal bone without internal fixation|Open reduction of fracture of metatarsal bone without internal fixation
2026-03-05T10:49:02.502589,gemini-3-flash-preview,set2,Identification of antibody to red blood cell antigens from Colton system (International Society of Blood Transfusion 015),Identification of antibody to Colton blood group system antigen,Laboratory procedure,Fully defined,Identification of antibody to red blood cell antigen,Antibody identification|Immunohematology procedure,Identification of antibody to Colton a antigen|Identification of antibody to Colton b antigen|Identification of antibody to Colton 3 antigen,Identification of antibody to Kell blood group system antigen|Identification of antibody to Kidd blood group system antigen|Identification of antibody to Duffy blood group system antigen|Identification of antibody to Lutheran blood group system antigen|Identification of antibody to Rh blood group system antigen
2026-03-05T10:49:09.895386,gemini-3-flash-preview,set2,Spirometra houghtonii,*Spirometra houghtonii*,Invertebrate,Fully defined,*Spirometra*,Diphyllobothriidae,None,*Spirometra erinaceieuropaei*|*Spirometra mansonoides*|*Spirometra ranarum*|*Spirometra decipiens*
2026-03-05T10:49:18.823050,gemini-3-flash-preview,set2,Difficulty preparing feed,Difficulty preparing feed,Finding,Primitive,Finding related to preparation of food or drink|Feeding finding,Finding of activity of daily living|Finding of functional state,Difficulty preparing bottle feed,Difficulty feeding|Difficulty following feeding regimen|Difficulty using feeding equipment|Difficulty managing expressed breast milk
2026-03-05T10:49:24.017602,gemini-3-flash-preview,set2,Public school,State-funded educational institution,Educational institution,Fully defined,,,Charter school|Magnet school|Comprehensive school|Community school,Private school|Parochial school|International school
2026-03-05T10:49:31.989406,gemini-3-flash-preview,set2,Assistive electrical shaver adaptor,Assistive electric shaver handle extension,Device,Fully defined,Assistive grooming aid|Adaptive handle extension,Activities of daily living (ADL) equipment|Personal care device,Weighted assistive shaver handle|Universal cuff shaver holder|Foam-grip shaver sleeve,Assistive toothbrush adaptor|Adaptive hairbrush holder|Assistive nail clipper base
2026-03-05T10:49:42.815958,gemini-3-flash-preview,set2,Bathing of skin of free upper limb,Bathing of skin of free upper limb,Procedure,Fully defined,Bathing of skin,Personal hygiene activity,Bathing of skin of hand|Bathing of skin of arm|Bathing of skin of forearm,Bathing of skin of head and neck|Bathing of skin of free lower limb|Bathing of skin of trunk
2026-03-05T10:49:48.507657,gemini-3-flash-preview,set2,Primary hyperparathyroidism,Primary hyperparathyroidism,Disease,Fully defined,Hyperparathyroidism,Parathyroid gland disease|Endocrine system disease,Primary hyperparathyroidism due to parathyroid adenoma|Primary hyperparathyroidism due to parathyroid hyperplasia|Primary hyperparathyroidism due to parathyroid carcinoma|Familial primary hyperparathyroidism,Secondary hyperparathyroidism|Tertiary hyperparathyroidism
2026-03-05T10:49:55.030482,gemini-3-flash-preview,set2,Ultrasonography of soft tissue of wrist region,Ultrasonography of soft tissue of wrist,Procedure,Fully defined,Ultrasonography of soft tissue of upper limb|Ultrasonography of wrist,Ultrasonography of soft tissue|Ultrasonography of upper limb|Diagnostic imaging of wrist,Ultrasonography of carpal tunnel,Ultrasonography of soft tissue of shoulder region|Ultrasonography of soft tissue of elbow region|Ultrasonography of soft tissue of forearm|Ultrasonography of soft tissue of hand
2026-03-05T10:49:59.433263,gemini-3-flash-preview,set2,Standing tolerance,Standing tolerance,Clinical finding,Primitive,Tolerance|Ability to stand,Finding of endurance|Finding of functional performance and activity,Decreased standing tolerance|Increased standing tolerance,Sitting tolerance|Walking tolerance|Exercise tolerance|Stair climbing tolerance
2026-03-05T10:50:07.309852,gemini-3-flash-preview,set2,Product containing precisely alverine citrate 120 milligram/1 each conventional release oral capsule,Alverine citrate 120 mg conventional release oral capsule,Medicinal product,Fully defined,Alverine citrate oral capsule|Alverine citrate 120 mg medicinal product,Alverine-containing product|Oral dosage form product,Spasmonal Forte 120mg capsule,Alverine citrate 60 mg conventional release oral capsule
2026-03-05T10:50:17.455310,gemini-3-flash-preview,set2,Structure of temporomandibular articulation vein,Temporomandibular joint vein,Anatomical structure,Primitive,,,,Maxillary vein|Retromandibular vein|Superficial temporal vein|Deep facial vein
2026-03-05T10:50:24.417772,gemini-3-flash-preview,set2,Closed comminuted fracture of proximal phalanx of finger,Most precise official-style name,What kind of thing it is (semantic type),Category type (Primitive / Fully defined),Closed fracture of proximal phalanx of finger|Comminuted fracture of proximal phalanx of finger,Fracture of proximal phalanx of finger|Closed fracture of phalanx of finger|Comminuted fracture of phalanx of finger,Closed comminuted fracture of proximal phalanx of thumb|Closed comminuted fracture of proximal phalanx of index finger|Closed comminuted fracture of proximal phalanx of middle finger|Closed comminuted fracture of proximal phalanx of ring finger|Closed comminuted fracture of proximal phalanx of little finger,Closed spiral fracture of proximal phalanx of finger|Closed transverse fracture of proximal phalanx of finger|Closed greenstick fracture of proximal phalanx of finger|Open comminuted fracture of proximal phalanx of finger
2026-03-05T10:50:33.190389,gemini-3-flash-preview,set2,Choroidal retinal neovascularization,Choroidal neovascularization,Disease or Syndrome,Fully defined,Neovascularization of choroid|Retinal neovascularization,Choroid disease|Retinal disease|Pathologic neovascularization,Classic choroidal neovascularization|Occult choroidal neovascularization|Myopic choroidal neovascularization|Polypoidal choroidal vasculopathy,Iris neovascularization|Retinal artery occlusion|Retinal vein occlusion|Corneal neovascularization
2026-03-05T10:50:42.625500,gemini-3-flash-preview,set2,Microunit/milliliter,Micro-unit per milliliter,Quantitative Concept,Fully defined,Unit of concentration,Unit of measurement,None,Milliunit per milliliter|Unit per milliliter|Nanogram per milliliter|Picomole per milliliter
2026-03-05T10:51:00.990683,gemini-3-flash-preview,set2,Unable to use a non-speech system for communication,Unable to use non-speech communication system,Finding,Primitive,Finding of ability to use non-speech communication system|Unable to communicate,Communication finding|Finding of functional performance and activity,Unable to use communication board|Unable to use computer-aided communication|Unable to use sign language|Unable to use writing as communication,Able to use non-speech communication system|Difficulty using non-speech communication system
2026-03-05T10:51:10.737353,gemini-3-flash-preview,set2,Chronic infective pericarditis,Chronic infectious pericarditis,Disease or Syndrome,Fully defined,Chronic pericarditis|Infectious pericarditis,Pericarditis|Infection of heart,Chronic tuberculous pericarditis|Chronic syphilitic pericarditis,Chronic non-infectious pericarditis|Acute infectious pericarditis|Chronic constrictive pericarditis
2026-03-05T10:51:19.463707,gemini-3-flash-preview,set2,Accidental poisoning caused by salicylates,Accidental poisoning caused by salicylates,Event,Fully defined,Accidental poisoning|Poisoning caused by salicylates,Poisoning caused by drug or biological substance|Accidental overdose of drug and/or biological substance|Toxic effect of salicylate,Accidental aspirin poisoning|Accidental poisoning caused by methyl salicylate,"Intentional salicylate poisoning|Poisoning caused by salicylates, undetermined intent|Accidental poisoning caused by paracetamol|Accidental poisoning caused by nonsteroidal anti-inflammatory drugs"
2026-03-05T10:51:25.067301,gemini-3-flash-preview,set2,Product containing only nicotinic acid,Product containing only nicotinic acid,Medicinal product,Fully defined,Product containing nicotinic acid|Product containing only pyridine-3-carboxylic acid derivative,Medicinal product|Product containing pyridine-3-carboxylic acid derivative,Nicotinic acid 50mg oral tablet|Nicotinic acid 100mg oral tablet|Nicotinic acid 500mg prolonged-release oral tablet,Product containing only nicotinamide|Product containing only acipimox|Product containing only aluminum nicotinate
2026-03-05T10:51:49.096190,gemini-3-flash-preview,set2,Dimethyl-ether propane,Propane and dimethyl ether,Chemical substance,Fully defined,Propane|Dimethyl ether,Alkanes|Ethers,None,Propane and n-butane|Propane and isobutane|Dimethyl ether and isobutane
2026-03-05T10:51:57.090172,gemini-3-flash-preview,set2,Nipple sharing technique,Nipple-sharing graft,Surgical procedure,Fully defined,Nipple-areola reconstruction|Composite grafting,Breast reconstruction|Tissue transplantation,Vertical nipple-sharing technique|Horizontal nipple-sharing technique,Skate flap reconstruction|Star flap reconstruction|Labial graft|Ear lobe graft|Medical tattooing (micropigmentation)
2026-03-05T10:52:04.100281,gemini-3-flash-preview,set2,Accidental clorazepate poisoning,Accidental poisoning caused by clorazepate,Event / Clinical finding,Fully defined,Accidental poisoning by benzodiazepine|Poisoning caused by clorazepate,Accidental poisoning by drug|Poisoning caused by benzodiazepine,None,Accidental poisoning caused by diazepam|Accidental poisoning caused by alprazolam|Accidental poisoning caused by lorazepam|Accidental poisoning caused by chlordiazepoxide|Intentional clorazepate poisoning
2026-03-05T10:52:11.836052,gemini-3-flash-preview,set2,Fetal disorder due to persistent occipito-posterior malposition during labor,Fetal disorder due to persistent occipito-posterior position,Clinical finding,Fully defined,,,,"Fetal disorder due to face, brow, and chin presentation|Fetal disorder due to breech presentation|Fetal disorder due to transverse and oblique lie|Fetal disorder due to shoulder presentation|Fetal disorder due to compound presentation"
2026-03-05T10:52:24.235947,gemini-3-flash-preview,set2,Carnitine acylcarnitine translocase deficiency,Carnitine-acylcarnitine translocase deficiency,Disease or Syndrome,Fully defined,Disorder of carnitine cycle|Fatty acid oxidation disorder,Inborn error of lipid metabolism|Disorder of mitochondrial metabolism,Neonatal carnitine-acylcarnitine translocase deficiency|Late-onset carnitine-acylcarnitine translocase deficiency,Carnitine palmitoyltransferase I deficiency|Carnitine palmitoyltransferase II deficiency|Primary carnitine deficiency
2026-03-05T10:52:30.384320,gemini-3-flash-preview,set2,Revision of gastrojejunal anastomosis with reconstruction with partial gastrectomy,Revision of gastrojejunal anastomosis with reconstruction with partial gastrectomy,Procedure,Fully defined,Partial gastrectomy|Revision of gastrojejunal anastomosis,Gastrectomy|Revision of gastric anastomosis|Operation on stomach,Revision of gastrojejunal anastomosis with reconstruction with partial gastrectomy and Roux-en-Y,Revision of gastrojejunal anastomosis with reconstruction with total gastrectomy|Revision of gastroduodenal anastomosis with reconstruction with partial gastrectomy|Closure of gastrojejunal anastomosis
2026-03-05T10:52:37.802929,gemini-3-flash-preview,set2,Abnormal radial pulse,Abnormal radial pulse,Finding,Primitive,Radial pulse finding|Abnormal pulse,Pulse finding|Finding of arterial pulse,Absent radial pulse|Weak radial pulse|Bounding radial pulse,Normal radial pulse
2026-03-05T10:52:45.484080,gemini-3-flash-preview,set2,Accident due to heat in drying room,Exposure to excessive heat in drying room,Event,Primitive,Exposure to excessive heat of man-made origin,Environmental exposure,None,Exposure to excessive heat in boiler room|Exposure to excessive heat in sauna|Exposure to excessive heat in steam room
2026-03-05T10:52:52.469619,gemini-3-flash-preview,set2,Disease caused by Trichinelloidea,Trichinelloidiasis,Disease,Fully defined,Nematode infection,Helminthiasis,Trichinosis|Trichuriasis|Capillariasis|Anatrichosomiasis,Ascaridoidiasis|Oxyuroidiasis|Filarioidiasis|Dracunculoidiasis|Rhabditidiasis|Dioctophymatoidiasis
